gen evals time best_fitness
0 100 4 29.0
1 200 8 29.0
2 300 8 29.0
3 400 12 29.0
4 500 12 29.0
5 600 12 29.0
6 700 12 29.0
7 800 12 29.0
8 900 16 29.0
9 1000 16 29.0
10 1100 16 29.0
11 1200 16 29.0
12 1300 16 29.0
13 1400 20 29.0
14 1500 20 29.0
15 1600 20 29.0
16 1700 20 29.0
17 1800 20 29.0
18 1900 20 29.0
19 2000 20 29.0
20 2100 24 29.0
21 2200 24 29.0
22 2300 24 29.0
23 2400 24 29.0
24 2500 24 29.0
25 2600 24 29.0
26 2700 24 29.0
27 2800 24 29.0
28 2900 24 29.0
29 3000 28 29.0
30 3100 28 29.0
31 3200 28 29.0
32 3300 28 29.0
33 3400 28 29.0
34 3500 28 29.0
35 3600 28 29.0
36 3700 28 29.0
37 3800 28 29.0
38 3900 32 29.0
39 4000 32 29.0
40 4100 32 29.0
41 4200 32 29.0
42 4300 32 29.0
43 4400 32 29.0
44 4500 32 29.0
45 4600 32 29.0
46 4700 36 29.0
47 4800 36 29.0
48 4900 36 29.0
49 5000 36 29.0
50 5100 36 29.0
51 5200 36 29.0
52 5300 36 29.0
53 5400 40 29.0
54 5500 40 29.0
55 5600 40 29.0
56 5700 44 29.0
57 5800 44 29.0
58 5900 44 29.0
59 6000 44 29.0
60 6100 44 29.0
61 6200 48 29.0
62 6300 48 29.0
63 6400 48 29.0
64 6500 48 29.0
65 6600 48 29.0
66 6700 48 29.0
67 6800 52 29.0
68 6900 52 29.0
69 7000 52 29.0
70 7100 52 29.0
71 7200 52 29.0
72 7300 56 29.0
73 7400 56 29.0
74 7500 56 29.0
75 7600 56 29.0
76 7700 56 29.0
77 7800 56 29.0
78 7900 56 29.0
79 8000 56 29.0
80 8100 56 29.0
81 8200 56 29.0
82 8300 60 29.0
83 8400 60 29.0
84 8500 60 29.0
85 8600 60 29.0
86 8700 60 29.0
87 8800 60 29.0
88 8900 60 29.0
89 9000 60 29.0
90 9100 60 29.0
91 9200 64 29.0
92 9300 64 29.0
93 9400 64 29.0
94 9500 64 29.0
95 9600 64 29.0
96 9700 64 29.0
97 9800 64 29.0
98 9900 64 29.0
99 10000 64 29.0
100 10100 68 29.0
101 10200 68 29.0
102 10300 68 29.0
103 10400 68 29.0
104 10500 68 29.0
105 10600 68 29.0
106 10700 68 29.0
107 10800 68 29.0
108 10900 68 29.0
109 11000 68 29.0
110 11100 72 29.0
111 11200 72 29.0
112 11300 72 29.0
113 11400 72 29.0
114 11500 72 29.0
115 11600 72 29.0
116 11700 72 29.0
117 11800 72 29.0
118 11900 76 29.0
119 12000 76 29.0
120 12100 80 29.0
121 12200 84 29.0
122 12300 84 29.0
123 12400 84 29.0
124 12500 84 29.0
125 12600 84 29.0
126 12700 84 29.0
127 12800 92 29.0
128 12900 92 29.0
129 13000 92 29.0
130 13100 92 29.0
131 13200 92 29.0
132 13300 112 29.0
133 13400 112 29.0
134 13500 112 29.0
135 13600 112 29.0
136 13700 112 29.0
137 13800 112 29.0
138 13900 112 29.0
139 14000 116 29.0
140 14100 116 29.0
141 14200 116 29.0
142 14300 116 29.0
143 14400 116 29.0
144 14500 116 29.0
145 14600 116 29.0
146 14700 120 29.0
147 14800 120 29.0
148 14900 120 29.0
149 15000 120 29.0
150 15100 124 29.0
151 15200 124 29.0
152 15300 124 29.0
153 15400 124 29.0
154 15500 124 29.0
155 15600 124 29.0
156 15700 124 29.0
157 15800 124 29.0
158 15900 124 29.0
159 16000 128 29.0
160 16100 128 29.0
161 16200 128 29.0
162 16300 128 29.0
163 16400 132 29.0
164 16500 132 29.0
165 16600 136 29.0
166 16700 140 29.0
167 16800 140 29.0
168 16900 140 29.0
